C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_52_596.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_52_596.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_52_596.jpg, 0, 0, 0, 7.918144E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_52_712.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_52_712.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_52_712.jpg, 0, 0, 0, 7.918238E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_52_834.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_52_834.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_52_834.jpg, 0, 0, 0, 7.960089E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_52_955.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_52_955.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_52_955.jpg, 0, 0, 0, 8.047036E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_075.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_075.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_075.jpg, 0, 0, 0, 7.967243E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_196.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_196.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_196.jpg, 0, 0, 0, 7.880841E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_296.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_296.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_296.jpg, 0, 0, 0, 8.076484E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_416.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_416.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_416.jpg, 0, 0, 0, 7.844E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_518.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_518.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_518.jpg, 0, 0, 0, 7.788734E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_639.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_639.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_639.jpg, 0, 0, 0, 8.079338E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_745.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_745.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_745.jpg, 0, 0, 0, 7.913316E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_865.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_865.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_865.jpg, 0, 0, 0, 7.976405E-05
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_53_969.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_53_969.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_53_969.jpg, 0, 0.1344615, 0, 0.07644248
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_078.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_078.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_078.jpg, 0, 0.4522767, 0, 0.4743238
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_200.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_200.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_200.jpg, 0, 0.8143644, 0, 1.379601
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_298.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_298.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_298.jpg, 0, 0.9283138, 0, 2.704581
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_419.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_419.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_419.jpg, 0, 0.5634268, 0, 3.663189
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_544.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_544.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_544.jpg, 0, 0.3383116, 0, 4.120363
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_645.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_645.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_645.jpg, 0, 0.6440395, 0, 4.728609
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_748.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_748.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_748.jpg, 0, 0.9492811, 0, 5.690542
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_850.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_850.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_850.jpg, 0, 1, 0, 6.837029
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_54_972.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_54_972.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_54_972.jpg, 0, 1, 0, 8.201613
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_55_072.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_55_072.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_55_072.jpg, 0, 1, 0, 9.326618
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_55_195.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_55_195.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_55_195.jpg, 0, 1, 0, 10.66206
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_55_299.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_55_299.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_55_299.jpg, 0, 1, 0, 12.11192
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_55_403.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_55_403.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_55_403.jpg, 0, 1, 0, 13.09621
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_55_523.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_55_523.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_55_523.jpg, -0.3579888, 1, 0, 14.19073
C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\center_2024_07_18_13_23_55_623.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\left_2024_07_18_13_23_55_623.jpg, C:\Users\JaneBenneth\Downloads\simulator-windows-32\IMG\right_2024_07_18_13_23_55_623.jpg, -0.6596258, 1, 0, 15.21124
